inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18
63,20,6,6,-1,5,2,1800.2568278312683,4.09251443092585,1.120802879333496,4.217787958511194,3.3171138763427734,4.193489898250894,3.3172099590301514,4.193489898250894,8.101449966430664,4.166423656441418,26.92696523666382,4.147427213283109,38.13273477554321,4.127637601527975,50.62869071960449,4.115834412738189,55.708834171295166,4.107038550091801,163.90575075149536,4.097771887599744,227.94903659820557,4.09251443092585,,,,,,,,,,,,,,,,
64,20,6,6,-1,5,2,1800.0270292758942,4.161718415180272,2.5878329277038574,4.219063220106106,4.68257474899292,4.173229480510713,4.6826865673065186,4.173229480510713,494.9932005405426,4.172408281231475,594.2194077968597,4.16647664146329,749.0903406143188,4.1659725046013385,1357.2356460094452,4.161718415180272,,,,,,,,,,,,,,,,,,,,,,
65,20,6,6,-1,5,2,1800.0874378681183,4.471415930496181,2.530491590499878,4.471415930496181,10.028595447540283,4.471415930496181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20,6,6,-1,5,2,1800.0517477989197,4.262777583328803,1.2523939609527588,4.438980131498324,2.66108775138855,4.430275305995858,2.6611878871917725,4.430275305995858,6.289314270019531,4.309928715334423,22.884932041168213,4.294145146016145,43.35457396507263,4.280802608575687,62.63151526451111,4.263995360239127,1700.6542391777039,4.262777583328803,,,,,,,,,,,,,,,,,,,,
67,20,6,6,-1,5,2,1800.0232074260712,4.113353200807942,1.4821767807006836,4.1675212153295575,2.6141741275787354,4.166235350392912,2.614262342453003,4.166235350392912,16.735402584075928,4.157065892583819,30.464786052703857,4.125863593117323,69.25702667236328,4.125790394948026,78.7073814868927,4.115289888797965,161.98298168182373,4.113353200807942,,,,,,,,,,,,,,,,,,,,
68,20,6,6,-1,5,2,1800.1730649471283,3.9574906213879517,3.8921701908111572,4.173050862764456,5.463535308837891,4.173050862764456,13.355480194091797,4.134367013232154,17.552512168884277,4.070309191402619,24.87449836730957,3.9679942577565237,890.5041205883026,3.9651011375257212,1011.2305209636688,3.9647250974411423,1147.815184354782,3.959382846719124,1544.1445984840393,3.9574906213879517,,,,,,,,,,,,,,,,,,
69,20,6,6,-1,5,2,1800.0118958950043,4.026939510920412,1.3751978874206543,4.098361044091272,8.201077938079834,4.098361044091272,23.430177211761475,4.096973460907767,30.926485538482666,4.083274754360639,93.755295753479,4.065604457113825,328.9657609462738,4.058063123513265,466.5499093532562,4.057571231632516,955.6488404273987,4.056861047613217,1106.1157367229462,4.045905825047367,1119.2432053089142,4.045703066250172,1176.5053021907806,4.026939510920412,,,,,,,,,,,,,,
70,20,6,6,-1,5,2,1800.0244753360748,4.480648870437633,4.169387340545654,4.610558873532284,6.277587413787842,4.610558873532284,13.404017925262451,4.610558717317712,20.532865524291992,4.600724002502018,23.47921919822693,4.581200057384283,60.52347493171692,4.56806505041468,85.08450436592102,4.556885300074345,98.79363107681274,4.543024097545035,215.82561016082764,4.536617049485363,235.15948820114136,4.511137738199572,375.9733395576477,4.480648870437633,,,,,,,,,,,,,,
71,20,6,6,-1,5,2,1800.1908569335938,4.081349686497216,4.512340784072876,4.14880282907033,6.790590524673462,4.14880282907033,45.47570562362671,4.144033889092868,46.145318269729614,4.140124676370698,145.497967004776,4.135009578595308,259.49886775016785,4.094735271971471,1132.0898945331573,4.081349686497216,,,,,,,,,,,,,,,,,,,,,,
72,20,6,6,-1,5,2,1800.2261362075806,4.4872415934302134,2.021261215209961,4.518945389432232,5.44931435585022,4.518945389432232,37.54936361312866,4.515762815718368,100.08019161224365,4.512811831545753,134.58995866775513,4.511780436885583,236.2769467830658,4.50809387590297,564.2708096504211,4.503407185772012,850.6882333755493,4.4946096798993365,966.9011573791504,4.4872415934302134,,,,,,,,,,,,,,,,,,
