inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15
50,20,2,1800.2252671718597,4.559869108179518,32.6513466835022,4.699963169051845,50.27180075645447,4.62276666480578,54.76459074020386,4.5940734388456335,438.7762396335602,4.559869108179518,,,,,,,,,,,,,,,,,,,,,,
51,20,2,1800.5013020038605,4.667851015219687,3.9326295852661133,4.667852222600615,58.58738136291504,4.667851697094838,634.6410174369812,4.667851648411315,1456.9271140098572,4.667851015219687,,,,,,,,,,,,,,,,,,,,,,
52,20,2,1800.6748321056366,4.587344589419034,15.681968688964844,4.5873447961276455,451.69809007644653,4.587344589419034,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20,2,1800.8124480247498,4.848742902866256,12.324290037155151,4.912607148262563,15.730244398117065,4.905598395776317,28.649572134017944,4.848742902866256,,,,,,,,,,,,,,,,,,,,,,,,
54,20,2,1800.3472588062286,4.668182777647067,10.635692119598389,4.711264165264641,306.9676864147186,4.668182777647067,,,,,,,,,,,,,,,,,,,,,,,,,,
55,20,2,1800.7006273269653,4.612238500942927,57.501712799072266,4.672693788979713,112.80334067344666,4.615510653521444,485.4467821121216,4.612238500942927,,,,,,,,,,,,,,,,,,,,,,,,
56,20,2,1800.1000974178314,4.651506189970666,5.1266210079193115,4.689662004731765,67.24955916404724,4.651506189970666,,,,,,,,,,,,,,,,,,,,,,,,,,
57,20,2,547.9668231010437,4.646845440797335,1.7052760124206543,4.675270707867653,15.09561038017273,4.646845440797335,,,,,,,,,,,,,,,,,,,,,,,,,,
58,20,2,1800.7894151210785,4.671980126822176,8.782383441925049,4.671980390147284,250.1282250881195,4.671980169028403,463.46747279167175,4.671980126822176,,,,,,,,,,,,,,,,,,,,,,,,
59,20,2,1800.0119948387146,4.7654464630558255,9.299296855926514,4.765446823956747,24.63836932182312,4.765446786177313,393.31381392478943,4.7654464630558255,,,,,,,,,,,,,,,,,,,,,,,,
60,20,2,1800.527710199356,4.780350349337672,12.083428382873535,4.973146519440015,36.367085456848145,4.944859954421968,140.4510440826416,4.868577077061651,151.7616138458252,4.83221436235984,352.747004032135,4.802671374446393,663.2857182025909,4.780350349337672,,,,,,,,,,,,,,,,,,
61,20,2,1800.2533054351807,4.812085090281448,8.09769344329834,4.812085546209718,102.90358591079712,4.812085384892491,368.00310826301575,4.812085307092811,617.6193246841431,4.812085090281448,,,,,,,,,,,,,,,,,,,,,,
62,20,2,1800.0225656032562,4.824839685235435,14.599959135055542,4.895864131302945,240.39923810958862,4.8694085794277235,314.7091016769409,4.824839685235435,,,,,,,,,,,,,,,,,,,,,,,,
