inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19
72,20,2,2,-1,5,10,1800.0173163414001,4.765243319154943,10.65264630317688,4.834781418397689,20.32185173034668,4.828187457888788,20.322041034698486,4.828187457888788,88.82036089897156,4.788606390886667,122.97841477394104,4.777483388927084,328.0921196937561,4.765243319154943,,,,,,,,,,,,,,,,,,,,,,,,,,
73,20,2,2,-1,5,10,1800.3949809074402,4.872717884329973,19.122207403182983,4.915558682561408,31.31632924079895,4.915558682561408,86.44194865226746,4.906816492943307,129.90277194976807,4.895147352588104,213.41656470298767,4.872717884329973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,20,2,2,-1,5,10,1800.094050168991,4.544232447707017,11.808204174041748,4.5442326155024215,17.24850821495056,4.5442326155024215,452.33161520957947,4.544232491553796,872.6803648471832,4.544232447707017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,20,2,2,-1,5,10,1800.0015895366669,4.6662298686369255,42.585362911224365,4.676543341661401,52.264002084732056,4.676543341661401,475.9409439563751,4.6674298442019655,1761.129605770111,4.6662298686369255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,2,2,-1,5,10,1800.3349645137787,4.769512531658269,22.74712586402893,4.8798943007155025,44.2622709274292,4.8798943007155025,62.18628978729248,4.807775684190305,747.7771224975586,4.800660041448427,1450.9665949344635,4.769512531658269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,20,2,2,-1,5,10,1800.0644443035126,4.65995614294699,10.856118202209473,4.659956591143683,21.771098136901855,4.659956591143683,1348.9380855560303,4.65995614294699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20,2,2,-1,5,10,1800.664538383484,4.5720867111658015,22.072257041931152,4.615909748851729,29.715335845947266,4.615909748851729,277.7950301170349,4.583577495792015,691.0204100608826,4.5720867111658015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20,2,2,-1,5,10,1800.6224763393402,4.519309850242787,26.722835302352905,4.638623668218301,46.99263572692871,4.638623668218301,136.85005021095276,4.592270667078045,178.4854235649109,4.591752832754106,1040.347458600998,4.519309850242787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20,2,2,-1,5,10,1800.4050855636597,4.7819941769675305,5.596862077713013,4.845755546324108,13.32836389541626,4.845755546324108,56.35560202598572,4.819460915059651,67.35835886001587,4.792729420363399,72.73373532295227,4.790989404880089,283.7217044830322,4.785074813223545,623.7837355136871,4.7819941769675305,,,,,,,,,,,,,,,,,,,,,,,,
81,20,2,2,-1,5,10,1800.1984689235687,4.6315218259721584,3.192131757736206,4.631522559803781,5.7392144203186035,4.631522559803781,460.4745554924011,4.631522201028073,533.2160623073578,4.6315221351309335,710.2596986293793,4.6315218259721584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,20,2,2,-1,5,10,1800.0765054225922,4.65989713266116,8.466727256774902,4.659897339972286,13.13523530960083,4.659897339972286,502.8503303527832,4.659897195122086,978.1614873409271,4.65989716445519,1533.164091348648,4.65989713266116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,20,2,2,-1,5,10,1403.4576601982117,4.639770215277701,2.7929201126098633,4.639772169166414,5.537686347961426,4.639772169166414,77.27144360542297,4.63977213600752,221.54807448387146,4.639771786976196,283.0840861797333,4.639771749065103,550.6166784763336,4.639770215277701,,,,,,,,,,,,,,,,,,,,,,,,,,
84,20,2,2,-1,5,10,1800.0636279582977,4.818352298007585,9.055361986160278,4.843637282075965,23.113476991653442,4.843637282075965,1365.501128435135,4.818352298007585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,20,2,2,-1,5,10,1800.1306619644165,4.604013920666766,34.97826313972473,4.630760819650398,48.605311155319214,4.630760819650398,140.36749172210693,4.621209672415045,296.05976152420044,4.605708761046721,413.0522801876068,4.604013920666766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
