inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21
73,20,2,1800.141367673874,20.417381260656068,27.124231100082397,20.59361542037909,92.27073049545288,20.56014927937528,142.8179566860199,20.52296484493809,293.93152618408203,20.519613031523182,983.186945438385,20.496560997020197,1639.4478905200958,20.417381260656068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,20,2,1800.8083324432373,16.26714676494698,44.59426140785217,16.968138076803047,105.67245054244995,16.69565286480885,199.06038188934326,16.69420001540159,228.02946710586548,16.527104239475566,379.7358388900757,16.38049520395672,1505.9989688396454,16.26714676494698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,20,2,1801.1630051136017,18.486941460313773,39.13439130783081,18.52415478481156,285.93288922309875,18.494597702527873,321.85842275619507,18.486941460313773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,2,1801.2788870334625,21.406209050026064,16.618292808532715,21.406210529527318,357.8015341758728,21.40620987605064,1046.2307727336884,21.406209745279366,1191.306452035904,21.406209050026064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,20,2,1800.0193417072296,15.809091449990257,33.32895064353943,16.122660209689236,63.893930435180664,15.953885515695935,141.8785274028778,15.92973494041459,159.91839027404785,15.892019317795887,248.21324110031128,15.888329163174578,320.0222373008728,15.87410147251431,392.3816981315613,15.809091449990257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20,2,1800.5000927448273,17.63716600653258,31.155637979507446,18.220082370577707,37.84024143218994,17.77253606970472,59.46723771095276,17.697889049561972,478.03340101242065,17.69693022819837,520.9823222160339,17.63716600653258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20,2,1800.3270740509033,13.13968320310293,5.760155916213989,13.385153987472226,52.99331188201904,13.385153973914962,67.99710035324097,13.13968320310293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20,2,1801.017742395401,19.284184514889812,16.689555406570435,19.70781239824374,23.774523735046387,19.459981038017936,159.6488163471222,19.454517112157543,205.45303773880005,19.411372340368615,584.0828487873077,19.408587328131873,905.498868227005,19.284184514889812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,20,2,1800.7168283462524,20.74746106423832,52.80304956436157,21.171280299625902,125.96256470680237,21.17127947330348,234.34133672714233,21.144710259803677,502.6525387763977,21.077931986252082,591.4503173828125,20.74746106423832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,20,2,1800.047266960144,18.991627135402567,3.0435707569122314,18.99162876687596,218.33792233467102,18.991627135402567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
